AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
SRQ,Sarasota Bradenton International Airport,Florida,27.39539909362793,-82.55439758300781,2018,6318,82.32,1.44,8.26,705.09
SIT,Sitka Rocky Gutierrez Airport,Alaska,57.04710006713867,-135.36199951171875,2018,1332,89.19,1.43,-3.93,298.27
FWA,Fort Wayne International Airport,Indiana,40.978500370000006,-85.19509888,2018,7056,79.63,1.43,11.6,414.79
DAL,Dallas Love Field,Texas,32.84709900000001,-96.85179900000001,2018,70837,75.53,1.42,14.2,731.22
AEX,Alexandria International Airport,Louisiana,31.32740020751953,-92.54979705810548,2018,3390,82.09,1.42,7.03,339.69
SBP,San Luis County Regional Airport,California,35.2368011475,-120.64199829099998,2018,4831,78.29,1.41,10.38,381.09
COS,City of Colorado Springs Municipal Airport,Colorado,38.80580100000001,-104.70099600000002,2018,10302,79.3,1.4,12.55,623.61
SBA,Santa Barbara Municipal Airport,California,34.42620087,-119.8399963,2018,7069,81.5,1.39,8.27,473.96
YAK,Yakutat Airport,Alaska,59.503299713100006,-139.660003662,2018,719,89.71,1.39,-8.91,205.49
RAP,Rapid City Regional Airport,South Dakota,44.0452995300293,-103.05699920654295,2018,4230,80.87,1.39,10.67,592.54
PSG,Petersburg James A Johnson Airport,Alaska,56.801700589999996,-132.9450073,2018,723,88.11,1.38,-6.97,77.06
SFO,San Francisco International Airport,California,37.61899948120117,-122.375,2018,175307,77.13,1.37,10.84,1212.79
ATW,Appleton International Airport,Wisconsin,44.258098602299995,-88.5190963745,2018,4186,82.7,1.36,7.71,426.97
ICT,Wichita Eisenhower National Airport,Kansas,37.649898999999984,-97.433098,2018,10503,83.58,1.35,7.92,572.12
DSM,Des Moines International Airport,Iowa,41.53400039672852,-93.66310119628906,2018,15542,82.02,1.34,8.18,638.22
RSW,Southwest Florida International Airport,Florida,26.53619956970215,-81.75520324707031,2018,32273,81.81,1.33,10.2,988.64
GCC,Gillette Campbell County Airport,Wyoming,44.34889984130001,-105.53900146500001,2018,833,85.83,1.32,3.83,313.0
TRI,Tri-Cities Regional TN/VA Airport,Tennessee,36.47520099999999,-82.407401,2018,3060,82.52,1.31,10.31,216.69
OKC,Will Rogers World Airport,Oklahoma,35.39310073852539,-97.60070037841795,2018,23212,83.41,1.31,7.77,609.67
SCC,Deadhorse Airport,Alaska,70.19470215,-148.4649963,2018,924,90.91,1.3,-7.94,298.54
LBE,Arnold Palmer Regional Airport,Pennsylvania,40.275901790000006,-79.40480042000002,2018,1089,87.42,1.29,4.45,798.01
LIT,Bill & Hillary Clinton National Airport/Adams Field,Arkansas,34.729400634799994,-92.2242965698,2018,13203,83.45,1.29,6.55,491.1
PVU,Provo Municipal Airport,Utah,40.219200134277,-111.72299957274998,2018,546,79.12,1.28,14.44,497.76
VEL,Vernal Regional Airport,Utah,40.4408989,-109.51000209999998,2018,318,87.42,1.26,3.78,259.0
SCE,University Park Airport,Pennsylvania,40.8493003845,-77.8487014771,2018,1353,83.0,1.26,9.53,361.57
PSC,Tri Cities Airport,Washington,46.26470184326172,-119.11900329589844,2018,2878,85.48,1.25,6.57,695.24
LNK,Lincoln Airport,Nebraska,40.85100173950195,-96.75920104980467,2018,1774,81.74,1.24,9.81,435.98
MLU,Monroe Regional Airport,Louisiana,32.51089859008789,-92.0376968383789,2018,3071,82.19,1.24,10.28,350.2
IMT,Ford Airport,Michigan,45.8184013367,-88.1145019531,2018,651,84.95,1.23,7.44,297.23
LBF,North Platte Regional Airport Lee Bird Field,Nebraska,41.12620163,-100.68399809999998,2018,569,92.97,1.23,-3.28,228.0
EYW,Key West International Airport,Florida,24.55610084533692,-81.75959777832031,2018,4715,84.35,1.23,7.01,591.73
COD,Yellowstone Regional Airport,Wyoming,44.520198822,-109.02400207500001,2018,819,86.57,1.22,7.47,350.46
ACY,Atlantic City International Airport,New Jersey,39.45759963989258,-74.57720184326172,2018,3280,85.61,1.22,6.87,871.03
BGM,Greater Binghamton/Edwin A Link field,New York,42.208698270000006,-75.97979736000002,2018,920,83.8,1.2,11.42,378.0
MSY,Louis Armstrong New Orleans International Airport,Louisiana,29.99340057373047,-90.25800323486328,2018,55751,80.9,1.19,10.07,801.99
HRL,Valley International Airport,Texas,26.228500366210938,-97.65440368652344,2018,3440,80.38,1.19,9.52,318.69
OAK,Metropolitan Oakland International Airport,California,37.721298,-122.22100099999999,2018,52496,82.09,1.15,8.4,759.06
TUL,Tulsa International Airport,Oklahoma,36.19839859008789,-95.88809967041016,2018,16884,83.19,1.14,7.75,532.2
MLB,Melbourne International Airport,Florida,28.102800369262688,-80.64530181884766,2018,2450,86.24,1.14,4.57,459.71
GUM,GUM,U.S. Pacific Trust Territories and Possessions,,,2018,622,84.73,1.13,5.94,2289.69
HYA,Barnstable Municipal Boardman Polando Field,Massachusetts,41.66930008,-70.28040314,2018,89,75.28,1.12,34.4,196.0
LAR,Laramie Regional Airport,Wyoming,41.31209945678711,-105.67500305175778,2018,624,81.57,1.12,7.88,113.0
WRG,Wrangell Airport,Alaska,56.48429871,-132.3699951,2018,719,87.9,1.11,-6.42,56.61
CSG,Columbus Metropolitan Airport,Georgia,32.516300201416016,-84.93890380859375,2018,1276,79.62,1.1,11.83,83.0
RDM,Roberts Field,Oregon,44.2541008,-121.15000149999999,2018,3762,80.33,1.09,10.52,587.53
TPA,Tampa International Airport,Florida,27.975500106811523,-82.533203125,2018,74335,80.66,1.09,10.96,902.14
ABY,Southwest Georgia Regional Airport,Georgia,31.535499572753903,-84.19450378417969,2018,1018,78.78,1.08,14.9,145.0
ABR,Aberdeen Regional Airport,South Dakota,45.449100494384766,-98.42179870605467,2018,744,86.69,1.08,7.67,257.0
LBL,Liberal Mid-America Regional Airport,Kansas,37.0442009,-100.95999909999999,2018,556,85.79,1.08,6.12,246.37
MCO,Orlando International Airport,Florida,28.429399490356445,-81.30899810791016,2018,137983,78.72,1.06,13.31,976.42
IAH,George Bush Intercontinental Houston Airport,Texas,29.984399795532227,-95.34140014648438,2018,173358,82.39,1.05,8.14,824.94
MIA,Miami International Airport,Florida,25.79319953918457,-80.29060363769531,2018,87607,79.24,1.05,11.42,1023.35
ELP,El Paso International Airport,Texas,31.807199479999998,-106.37799839999998,2018,16937,82.87,1.04,9.98,629.2
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minnesota,44.88200000000001,-93.22180199999997,2018,158960,83.41,1.03,7.5,771.61
RKS,Southwest Wyoming Regional Airport,Wyoming,41.5942,-109.065001,2018,680,86.76,1.03,7.18,260.0
LCK,Rickenbacker International Airport,Ohio,39.813801,-82.92780300000001,2018,1083,73.5,1.02,19.76,761.64
FLL,Fort Lauderdale Hollywood International Airport,Florida,26.072599000000004,-80.152702,2018,97259,78.09,1.01,12.33,1022.32
ABQ,Albuquerque International Sunport,New Mexico,35.040199,-106.609001,2018,23990,82.68,0.99,8.62,678.28
BFL,Meadows Field,California,35.43360137999999,-119.0569992,2018,2316,85.97,0.99,5.66,505.05
DTW,Detroit Metropolitan Wayne County Airport,Michigan,42.212398529052734,-83.35340118408203,2018,157104,83.39,0.98,8.42,653.98
BQK,Brunswick Golden Isles Airport,Georgia,31.2588005065918,-81.46649932861328,2018,1034,85.69,0.97,2.97,238.0
SAT,San Antonio International Airport,Texas,29.533700942993164,-98.46980285644533,2018,39477,83.32,0.97,8.84,789.2
AUS,Austin Bergstrom International Airport,Texas,30.194499969482425,-97.6698989868164,2018,63126,81.87,0.97,9.42,922.57
SAN,San Diego International Airport,California,32.7336006165,-117.19000244100002,2018,90425,82.4,0.95,8.1,1028.19
KTN,Ketchikan International Airport,Alaska,55.35559845,-131.7140045,2018,2421,85.58,0.95,-2.84,459.94
BQN,BQN,Puerto Rico,,,2018,1952,76.33,0.92,15.55,1254.95
SJC,Norman Y. Mineta San Jose International Airport,California,37.362598000000006,-121.92900100000001,2018,54463,82.77,0.89,7.15,809.64
RFD,Chicago Rockford International Airport,Illinois,42.19540023803711,-89.09719848632812,2018,672,79.02,0.89,9.98,1194.65
PUB,Pueblo Memorial Airport,Colorado,38.289100646972656,-104.49700164794922,2018,900,83.56,0.89,8.63,140.7
DRT,Del Rio International Airport,Texas,29.374200820900004,-100.927001953,2018,114,85.09,0.88,6.73,335.0
SJU,SJU,Puerto Rico,,,2018,24470,79.49,0.87,12.26,1352.89
VLD,Valdosta Regional Airport,Georgia,30.78249931335449,-83.27670288085938,2018,1039,86.24,0.87,6.65,208.0
GJT,Grand Junction Regional Airport,Colorado,39.1223983765,-108.527000427,2018,3741,89.58,0.86,1.77,418.45
LAX,Los Angeles International Airport,California,33.942501070000006,-118.4079971,2018,220677,82.89,0.86,8.28,1306.29
FAI,Fairbanks International Airport,Alaska,64.81510162,-147.85600280000003,2018,4450,91.6,0.85,-2.58,875.81
CDV,Merle K (Mudhole) Smith Airport,Alaska,60.49179839999999,-145.4779968,2018,720,87.92,0.83,-6.48,186.43
SCK,Stockton Metropolitan Airport,California,37.894199371338,-121.2379989624,2018,745,61.21,0.81,24.3,403.1
PSP,Palm Springs International Airport,California,33.8297004699707,-116.50700378417966,2018,10586,83.67,0.81,6.82,718.85
JAC,Jackson Hole Airport,Wyoming,43.6072998046875,-110.73799896240234,2018,4180,79.62,0.79,10.97,684.47
BLV,Scott AFB/Midamerica Airport,Illinois,38.5452,-89.835197,2018,1017,71.78,0.79,21.2,881.96
OGD,Ogden Hinckley Airport,Utah,41.195899963379,-112.01200103760003,2018,126,70.63,0.79,19.06,552.9
TUS,Tucson International Airport,Arizona,32.1161003112793,-110.94100189208984,2018,18182,85.43,0.78,6.49,697.19
BLI,Bellingham International Airport,Washington,48.79280090332031,-122.53800201416016,2018,2220,87.12,0.77,2.34,871.73
JNU,Juneau International Airport,Alaska,58.35499954223633,-134.5760040283203,2018,4393,88.78,0.77,-3.43,495.48
PHX,Phoenix Sky Harbor International Airport,Arizona,33.43429946899414,-112.01200103759766,2018,173549,81.94,0.75,9.04,933.89
SLN,Salina Municipal Airport,Kansas,38.79100036621094,-97.6521987915039,2018,675,74.52,0.74,21.07,246.4
ONT,Ontario International Airport,California,34.055999755859375,-117.60099792480466,2018,21245,84.3,0.74,7.67,576.85
ISN,Sloulin Field International Airport,North Dakota,48.177898407,-103.641998291,2018,1369,83.27,0.73,6.82,560.42
CNY,Canyonlands Field,Utah,38.755001070000006,-109.7549973,2018,419,82.82,0.72,3.32,283.0
ITH,Ithaca Tompkins Regional Airport,New York,42.49100112915039,-76.4583969116211,2018,984,83.03,0.71,13.5,353.41
FAT,Fresno Yosemite International Airport,California,36.77619934082031,-119.71800231933594,2018,11091,82.06,0.7,10.23,494.69
ANC,Ted Stevens Anchorage International Airport,Alaska,61.17440032958983,-149.99600219726562,2018,18358,90.27,0.7,-0.25,1249.58
LAS,McCarran International Airport,Nevada,36.08010101,-115.15200039999999,2018,160710,81.32,0.7,9.94,991.04
AZA,Phoenix-Mesa-Gateway Airport,Arizona,33.307800289999996,-111.6549988,2018,5234,83.13,0.69,8.61,1023.16
STC,St Cloud Regional Airport,Minnesota,45.54660034179688,-94.05989837646484,2018,145,77.93,0.69,15.86,1314.75
DEN,Denver International Airport,Colorado,39.86169815063497,-104.672996521,2018,235336,80.3,0.68,10.32,894.87
RNO,Reno Tahoe International Airport,Nevada,39.49909973144531,-119.76799774169922,2018,18081,82.25,0.67,8.89,554.56
SNA,John Wayne Airport-Orange County Airport,California,33.67570114,-117.8679962,2018,41478,84.62,0.67,6.66,789.83
ATL,Hartsfield Jackson Atlanta International Airport,Georgia,33.636700000000005,-84.42810100000003,2018,389130,83.48,0.65,9.55,646.83
SMF,Sacramento International Airport,California,38.69540023803711,-121.59100341796876,2018,46974,85.0,0.63,6.36,752.22
PIE,St Petersburg Clearwater International Airport,Florida,27.910200119999995,-82.68740081999998,2018,7466,83.99,0.63,7.17,878.19
PBG,Plattsburgh International Airport,New York,44.6509017944336,-73.46810150146484,2018,947,80.25,0.63,12.98,1063.11
EKO,Elko Regional Airport,Nevada,40.82490158081055,-115.7919998168945,2018,647,93.51,0.62,-0.62,200.0
PDX,Portland International Airport,Oregon,45.58869933999999,-122.5979996,2018,62884,86.02,0.6,4.4,1099.99
ERI,Erie International Tom Ridge Field,Pennsylvania,42.083127013399995,-80.1738667488,2018,1014,84.81,0.59,9.14,165.64
GTR,Golden Triangle Regional Airport,Mississippi,33.4502983093,-88.5914001465,2018,1017,84.27,0.59,5.52,241.0
DHN,Dothan Regional Airport,Alabama,31.3213005065918,-85.44960021972656,2018,1374,79.4,0.58,11.28,170.0
LGB,Long Beach /Daugherty Field/ Airport,California,33.81769943,-118.15200040000002,2018,16745,83.42,0.57,6.77,658.45
BIL,Billings Logan International Airport,Montana,45.80770111083984,-108.54299926757812,2018,4140,87.03,0.56,4.76,600.58
KOA,Ellison Onizuka Kona International At Keahole Airport,Hawaii,19.738782999999998,-156.045603,2018,14167,90.46,0.52,0.1,1207.2
BFF,Western Neb. Rgnl/William B. Heilig Airport,Nebraska,41.87400055,-103.59600070000002,2018,573,85.86,0.52,0.36,150.0
EUG,Mahlon Sweet Field,Oregon,44.12459945678711,-123.21199798583984,2018,4093,81.46,0.51,11.41,698.33
BZN,Gallatin Field,Montana,45.77750015000001,-111.15299989999998,2018,5824,83.28,0.5,8.54,803.75
EAR,EAR,Nebraska,,,2018,200,92.5,0.5,-7.88,305.0
SEA,Seattle Tacoma International Airport,Washington,47.449000999999996,-122.308998,2018,139620,83.37,0.47,6.27,1291.66
MSO,Missoula International Airport,Montana,46.91630173,-114.0910034,2018,3411,85.05,0.47,6.83,742.97
GEG,Spokane International Airport,Washington,47.61989974975586,-117.53399658203124,2018,12327,86.55,0.47,4.75,702.17
LIH,Lihue Airport,Hawaii,21.97599983215332,-159.33900451660156,2018,13325,89.69,0.44,1.34,1161.93
OGG,Kahului Airport,Hawaii,20.8986,-156.42999299999997,2018,24068,87.65,0.44,2.22,1351.52
HOB,Lea County Regional Airport,New Mexico,32.6875,-103.2170029,2018,675,87.11,0.44,2.06,501.0
SFB,Orlando Sanford International Airport,Florida,28.777599334716804,-81.23750305175781,2018,9535,79.18,0.44,10.66,854.71
BOI,Boise Air Terminal/Gowen Field,Idaho,43.564400000000006,-116.22300000000001,2018,19152,85.93,0.43,6.04,619.86
PRC,Ernest A. Love Field,Arizona,34.65449905,-112.4199982,2018,236,79.66,0.42,9.95,456.86
PGD,Charlotte County Airport,Florida,26.920200349999995,-81.9905014,2018,5208,83.14,0.42,10.39,969.15
BJI,Bemidji Regional Airport,Minnesota,47.50939941,-94.93370055999999,2018,740,86.89,0.41,5.36,199.0
STX,STX,U.S. Virgin Islands,,,2018,1122,83.6,0.36,7.37,847.89
FCA,Glacier Park International Airport,Montana,48.31050109863281,-114.25599670410156,2018,2369,85.99,0.34,6.02,778.47
STT,STT,U.S. Virgin Islands,,,2018,2497,82.94,0.32,7.7,982.07
GTF,Great Falls International Airport,Montana,47.48199843999999,-111.37100220000002,2018,1851,88.92,0.32,5.63,646.79
CPR,Casper-Natrona County International Airport,Wyoming,42.908001,-106.463997,2018,983,91.56,0.31,-0.3,295.08
ELM,Elmira Corning Regional Airport,New York,42.1599006652832,-76.8916015625,2018,333,80.78,0.3,13.9,920.4
SLC,Salt Lake City International Airport,Utah,40.78839874267578,-111.97799682617188,2018,112628,86.4,0.3,6.14,772.08
HLN,Helena Regional Airport,Montana,46.6068000793457,-111.98300170898438,2018,1805,90.64,0.28,1.17,555.91
ITO,Hilo International Airport,Hawaii,19.721399307250977,-155.04800415039062,2018,5777,93.06,0.28,-1.05,327.93
HNL,Daniel K Inouye International Airport,Hawaii,21.32062,-157.92422800000003,2018,46212,90.62,0.26,1.87,1297.89
TWF,Joslin Field Magic Valley Regional Airport,Idaho,42.4818,-114.48799900000002,2018,1268,87.85,0.24,0.56,190.2
IDA,Idaho Falls Regional Airport,Idaho,43.514599,-112.07099899999999,2018,2165,86.97,0.23,5.34,320.1
CDC,Cedar City Regional Airport,Utah,37.70100021362305,-113.0989990234375,2018,622,87.14,0.16,-0.5,221.0
BTM,Bert Mooney Airport,Montana,45.95479965209961,-112.49700164794922,2018,676,92.01,0.15,0.76,358.0
LWS,Lewiston Nez Perce County Airport,Idaho,46.3745002746582,-117.01499938964844,2018,717,94.14,0.14,-2.47,461.0
PIH,Pocatello Regional Airport,Idaho,42.9098014831543,-112.59600067138672,2018,1258,89.98,0.08,-2.37,150.0
SGU,St George Municipal Airport,Utah,37.036389,-113.51030599999999,2018,3243,90.07,0.06,1.75,331.42
IFP,IFP,Arizona,,,2018,45,71.11,0.0,-1.69,188.0
PPG,PPG,U.S. Pacific Trust Territories and Possessions,,,2018,110,70.0,0.0,44.67,2599.0
WYS,Yellowstone Airport,Montana,44.68840027000001,-111.1179962,2018,239,90.38,0.0,-2.49,273.0
HGR,Hagerstown Regional Richard A Henson Field,Maryland,39.70790099999999,-77.72949982,2018,134,68.66,0.0,25.14,795.11
YUM,Yuma MCAS/Yuma International Airport,Arizona,32.65660094999999,-114.60600280000003,2018,1376,92.3,0.0,-0.46,160.0
SMX,Santa Maria Pub/Capt G Allan Hancock Field,California,34.89889907999999,-120.4570007,2018,170,78.24,0.0,12.33,310.0
YNG,Youngstown Warren Regional Airport,Ohio,41.26070023,-80.67910004,2018,2,50.0,0.0,63.0,894.0
AKN,King Salmon Airport,Alaska,58.67679977,-156.6490021,2018,63,74.6,0.0,1.68,288.0
MMH,Mammoth Yosemite Airport,California,37.62409973,-118.83799740000002,2019,568,52.11,20.6,30.97,338.79
ART,Watertown International Airport,New York,43.99190139770508,-76.02169799804688,2019,245,66.94,14.69,15.49,287.0
SUN,Friedman Memorial Airport,Idaho,43.50439835,-114.2959976,2019,1562,72.54,13.76,8.96,376.51
ASE,Aspen-Pitkin Co/Sardy Field,Colorado,39.22320175,-106.8690033,2019,6569,65.22,8.25,23.24,531.17
COU,Columbia Regional Airport,Missouri,38.81809997558594,-92.21959686279295,2019,2365,70.27,7.7,14.76,418.35
CMX,Houghton County Memorial Airport,Michigan,47.168399810791016,-88.48909759521484,2019,726,70.66,7.44,24.13,360.0
UIN,Quincy Regional Baldwin Field,Illinois,39.94269943,-91.19460297000002,2019,629,73.93,7.31,19.6,221.88
JMS,Jamestown Regional Airport,North Dakota,46.929698939999994,-98.67819977,2019,984,75.61,6.61,21.42,263.26
VEL,Vernal Regional Airport,Utah,40.4408989,-109.5100021,2019,626,75.72,6.55,11.33,259.0
CYS,Cheyenne Regional Jerry Olson Field,Wyoming,41.15570068,-104.8119965,2019,513,72.32,6.43,19.36,713.0
DBQ,Dubuque Regional Airport,Iowa,42.40200043,-90.70950317,2019,1048,75.0,6.2,9.34,147.0
ADK,Adak Airport,Alaska,51.87799835205078,-176.64599609375,2019,104,60.58,5.77,15.5,1192.0
OTH,Southwest Oregon Regional Airport,Oregon,43.41709899902344,-124.24600219726562,2019,383,64.49,5.74,33.78,467.75
ACV,California Redwood Coast-Humboldt County Airport,California,40.97810100000001,-124.10900000000001,2019,2012,71.42,5.72,23.64,424.0
MKG,Muskegon County Airport,Michigan,43.16949843999999,-86.23819733,2019,727,77.99,5.64,11.94,118.84
LAR,Laramie Regional Airport,Wyoming,41.31209945678711,-105.67500305175778,2019,623,76.89,5.62,16.86,113.0
PAH,Barkley Regional Airport,Kentucky,37.06079864501953,-88.7738037109375,2019,1292,75.54,5.42,16.86,201.09
EAU,Chippewa Valley Regional Airport,Wisconsin,44.86579895019531,-91.48429870605467,2019,725,77.52,5.38,13.63,269.0
CNY,Canyonlands Field,Utah,38.75500106999999,-109.75499730000001,2019,620,75.97,5.32,15.17,283.0
LWB,Greenbrier Valley Airport,West Virginia,37.8582992554,-80.39949798580001,2019,663,72.1,5.28,18.06,353.04
DVL,Devils Lake Regional Airport,North Dakota,48.11420059,-98.90879822,2019,610,77.54,5.25,17.22,315.92
HVN,Tweed New Haven Airport,Connecticut,41.26369858,-72.88680267,2019,1083,81.16,5.08,3.88,178.51
ATY,Watertown Regional Airport,South Dakota,44.914001459999994,-97.15470123000001,2019,522,77.97,4.98,15.27,412.06
OGS,Ogdensburg International Airport,New York,44.68190002440001,-75.4654998779,2019,528,74.81,4.92,22.79,665.19
HYS,Hays Regional Airport,Kansas,38.84220122999999,-99.27320099,2019,1247,76.82,4.89,20.46,192.58
EAR,EAR,Nebraska,,,2019,682,82.4,4.84,6.66,316.41
BFF,Western Neb. Rgnl/William B. Heilig Airport,Nebraska,41.87400055,-103.5960007,2019,625,81.76,4.64,8.78,150.0
RST,Rochester International Airport,Minnesota,43.90829849243164,-92.5,2019,3453,76.19,4.6,13.65,281.31
ALO,Waterloo Regional Airport,Iowa,42.55709838867188,-92.40029907226562,2019,700,76.71,4.57,11.67,234.0
BFM,Mobile Downtown Airport,Alabama,30.626800537100003,-88.0680999756,2019,157,69.43,4.46,6.4,1004.93
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Texas,33.9888,-98.49189800000002,2019,1257,80.59,4.46,7.13,113.0
STC,St Cloud Regional Airport,Minnesota,45.54660034179688,-94.05989837646484,2019,136,76.47,4.41,21.32,1303.24
ADQ,Kodiak Airport,Alaska,57.75,-152.4940033,2019,641,82.37,4.37,-2.03,253.0
LBF,North Platte Regional Airport Lee Bird Field,Nebraska,41.12620162999999,-100.6839981,2019,624,82.85,4.33,4.81,228.0
BKG,Branson Airport,Missouri,36.532081999999996,-93.200544,2019,231,75.32,4.33,11.91,539.52
PUB,Pueblo Memorial Airport,Colorado,38.289100646972656,-104.49700164794922,2019,936,76.82,4.27,8.07,143.22
PIR,Pierre Regional Airport,South Dakota,44.38270187,-100.28600310000002,2019,655,80.61,4.27,14.26,333.59
GCK,Garden City Regional Airport,Kansas,37.92750167850001,-100.72399902300002,2019,726,80.99,4.27,7.86,404.0
RDD,Redding Municipal Airport,California,40.50899887,-122.2929993,2019,1390,74.46,4.24,16.21,263.96
SWO,Stillwater Regional Airport,Oklahoma,36.161201477051,-97.08570098877,2019,878,84.05,4.21,4.71,225.0
ESC,Delta County Airport,Michigan,45.7226982117,-87.0936965942,2019,623,76.4,4.17,18.37,306.0
OME,Nome Airport,Alaska,64.51219940185547,-165.44500732421875,2019,720,88.19,4.17,-7.8,513.29
DLH,Duluth International Airport,Minnesota,46.8420982361,-92.19360351560002,2019,3373,78.21,4.12,20.33,261.69
SUX,Sioux Gateway Col. Bud Day Field,Iowa,42.40259933,-96.38439941,2019,1341,70.92,4.1,15.8,496.65
EGE,Eagle County Regional Airport,Colorado,39.64260101,-106.91799929999999,2019,2314,69.75,4.02,26.31,740.53
BPT,Southeast Texas Regional Airport,Texas,29.9507999420166,-94.02069854736328,2019,1000,77.5,4.0,10.06,270.0
STS,Charles M. Schulz Sonoma County Airport,California,38.50899887,-122.81300349999998,2019,2720,82.76,3.93,6.4,562.06
MDW,Chicago Midway International Airport,Illinois,41.785999000000004,-87.752403,2019,83595,76.01,3.9,13.6,796.5
JLN,Joplin Regional Airport,Missouri,37.151798248291016,-94.49829864501952,2019,1379,76.58,3.84,12.88,372.31
PGV,Pitt Greenville Airport,North Carolina,35.6352005,-77.38529968,2019,80,85.0,3.75,4.44,203.0
SLN,Salina Municipal Airport,Kansas,38.79100036621094,-97.6521987915039,2019,926,74.95,3.67,21.74,246.19
OTZ,Ralph Wien Memorial Airport,Alaska,66.88469696,-162.598999,2019,712,86.1,3.65,-3.99,394.72
SPI,Abraham Lincoln Capital Airport,Illinois,39.844100950000005,-89.67790222,2019,1797,78.13,3.62,12.7,398.93
ACT,Waco Regional Airport,Texas,31.611299514770508,-97.23049926757812,2019,1798,81.81,3.62,5.52,89.0
LAW,Lawton Fort Sill Regional Airport,Oklahoma,34.5676994324,-98.4166030884,2019,1333,80.72,3.6,7.69,140.0
MHK,Manhattan Regional Airport,Kansas,39.14099884033203,-96.6707992553711,2019,1976,78.85,3.59,12.5,464.37
CGI,Cape Girardeau Regional Airport,Missouri,37.22529983520508,-89.57080078125,2019,949,77.03,3.58,17.09,149.69
TYR,Tyler Pounds Regional Airport,Texas,32.35409927368164,-95.40239715576172,2019,1567,81.62,3.57,6.99,130.54
LBB,Lubbock Preston Smith International Airport,Texas,33.663601,-101.822998,2019,7085,81.4,3.54,8.9,373.76
CMI,University of Illinois Willard Airport,Illinois,40.03919983,-88.27809906,2019,2894,78.02,3.52,9.71,335.06
AMA,Rick Husband Amarillo International Airport,Texas,35.21939799999999,-101.706001,2019,5203,80.49,3.5,10.04,391.51
DRO,Durango La Plata County Airport,Colorado,37.1515007019,-107.753997803,2019,3228,77.01,3.47,9.69,440.02
LSE,La Crosse Municipal Airport,Wisconsin,43.87900200000001,-91.256699,2019,2196,79.01,3.46,11.85,210.91
RKS,Southwest Wyoming Regional Airport,Wyoming,41.5942,-109.06500100000001,2019,732,82.38,3.42,5.35,260.0
BUR,Bob Hope Airport,California,34.20069885253906,-118.35900115966795,2019,31821,81.54,3.42,8.45,532.54
APN,Alpena County Regional Airport,Michigan,45.0780983,-83.56030273000002,2019,617,81.2,3.4,18.66,145.31
TOL,Toledo Express Airport,Ohio,41.58679962,-83.80780029,2019,2094,81.71,3.39,9.28,432.1
AZO,Kalamazoo Battle Creek International Airport,Michigan,42.234901428222656,-85.5521011352539,2019,2239,80.26,3.39,8.65,186.06
IMT,Ford Airport,Michigan,45.8184013367,-88.1145019531,2019,678,81.86,3.39,16.54,297.16
TXK,Texarkana Regional Webb Field,Arkansas,33.45370101928711,-93.99099731445312,2019,1241,83.96,3.38,4.11,181.0
MQT,Sawyer International Airport,Michigan,46.3535995483,-87.395401001,2019,1410,75.46,3.33,26.16,322.39
CWA,Central Wisconsin Airport,Wisconsin,44.77759933470001,-89.6668014526,2019,2598,80.99,3.31,7.48,237.1
FAR,Hector International Airport,North Dakota,46.92070007324219,-96.81580352783205,2019,6017,76.43,3.27,16.41,565.25
FSD,Joe Foss Field Airport,South Dakota,43.582000732400004,-96.74189758299998,2019,7124,77.19,3.21,12.7,534.98
TVC,Cherry Capital Airport,Michigan,44.74140167236328,-85.58219909667969,2019,4324,75.69,3.19,14.73,307.3
HOU,William P Hobby Airport,Texas,29.645399089999994,-95.27890014999997,2019,60305,78.95,3.14,12.6,710.16
CRP,Corpus Christi International Airport,Texas,27.77039909362793,-97.5011978149414,2019,5886,81.89,3.13,6.86,264.12
CHO,Charlottesville Albemarle Airport,Virginia,38.13859939575195,-78.4529037475586,2019,5888,76.32,3.13,13.56,371.67
ORD,Chicago O'Hare International Airport,Illinois,41.97859999999999,-87.9048,2019,338690,72.72,3.12,14.63,735.02
GCC,Gillette Campbell County Airport,Wyoming,44.3488998413,-105.539001465,2019,769,78.93,3.12,12.09,313.0
BGR,Bangor International Airport,Maine,44.80739974975586,-68.8281021118164,2019,3758,74.77,3.11,13.57,611.4
ACK,Nantucket Memorial Airport,Massachusetts,41.25310135,-70.06020355,2019,1191,68.93,3.11,27.55,219.93
DAL,Dallas Love Field,Texas,32.84709900000001,-96.851799,2019,73716,78.91,3.1,11.67,727.97
MEI,Key Field,Mississippi,32.33259963989258,-88.75189971923828,2019,974,68.69,3.08,28.54,447.76
PLN,Pellston Regional Airport of Emmet County Airport,Michigan,45.57089996,-84.79669952,2019,1080,81.3,3.06,20.12,201.59
RAP,Rapid City Regional Airport,South Dakota,44.0452995300293,-103.05699920654295,2019,5024,78.3,2.99,16.06,607.44
SHD,Shenandoah Valley Regional Airport,Virginia,38.263801574700004,-78.8964004517,2019,705,79.72,2.98,23.5,292.06
